faltid;lan;kommun;areal_ha;markslag;inventeringsdatum;fastighet;objektrapport_ui;objektrapport_api;lokal_json
97B-480;Södermanland;Katrineholm;3.88;Bete;2002-05-29;Simonsbol 2;https://etjanst.sjv.se/tuvaut/?f=&id=97B-480;https://etjanst.sjv.se/hagenpub/rest/base/object/97B-480;docs/tuva/sodermanland/objektrapporter/97B-480.json
97B-KSJ;Södermanland;Eskilstuna;21.04;Bete;2003-07-24;Strand;https://etjanst.sjv.se/tuvaut/?f=&id=97B-KSJ;https://etjanst.sjv.se/hagenpub/rest/base/object/97B-KSJ;docs/tuva/sodermanland/objektrapporter/97B-KSJ.json
97B-TEF;Södermanland;Katrineholm;6.15;Äng;2004-05-11;biesta ;https://etjanst.sjv.se/tuvaut/?f=&id=97B-TEF;https://etjanst.sjv.se/hagenpub/rest/base/object/97B-TEF;docs/tuva/sodermanland/objektrapporter/97B-TEF.json
97C-STP;Södermanland;Gnesta;0.63;Restaurerbar;2003-09-11;Dillnäsby 3;https://etjanst.sjv.se/tuvaut/?f=&id=97C-STP;https://etjanst.sjv.se/hagenpub/rest/base/object/97C-STP;docs/tuva/sodermanland/objektrapporter/97C-STP.json
97F-VBS;Södermanland;Katrineholm;1.02;Bete;2003-05-22;Biesta 1;https://etjanst.sjv.se/tuvaut/?f=&id=97F-VBS;https://etjanst.sjv.se/hagenpub/rest/base/object/97F-VBS;docs/tuva/sodermanland/objektrapporter/97F-VBS.json
980-YSL;Södermanland;Katrineholm;3.43;Bete;2003-07-07;;https://etjanst.sjv.se/tuvaut/?f=&id=980-YSL;https://etjanst.sjv.se/hagenpub/rest/base/object/980-YSL;docs/tuva/sodermanland/objektrapporter/980-YSL.json
981-FIG;Södermanland;Gnesta;2.39;Bete;2003-09-11;Bondekeby 3, Hammersta 2;https://etjanst.sjv.se/tuvaut/?f=&id=981-FIG;https://etjanst.sjv.se/hagenpub/rest/base/object/981-FIG;docs/tuva/sodermanland/objektrapporter/981-FIG.json
982-CKT;Södermanland;Nyköping;0.83;Bete;2003-06-26;Gillinge 5;https://etjanst.sjv.se/tuvaut/?f=&id=982-CKT;https://etjanst.sjv.se/hagenpub/rest/base/object/982-CKT;docs/tuva/sodermanland/objektrapporter/982-CKT.json
983-EKN;Södermanland;Eskilstuna;0.99;Bete;2003-09-02;Lövåsen2;https://etjanst.sjv.se/tuvaut/?f=&id=983-EKN;https://etjanst.sjv.se/hagenpub/rest/base/object/983-EKN;docs/tuva/sodermanland/objektrapporter/983-EKN.json
983-ZEG;Södermanland;Katrineholm;1.57;Bete;2003-07-08;;https://etjanst.sjv.se/tuvaut/?f=&id=983-ZEG;https://etjanst.sjv.se/hagenpub/rest/base/object/983-ZEG;docs/tuva/sodermanland/objektrapporter/983-ZEG.json
984-CSE;Södermanland;Katrineholm;2.77;Bete;2003-07-21;Eriksberg-Sörtorp 1;https://etjanst.sjv.se/tuvaut/?f=&id=984-CSE;https://etjanst.sjv.se/hagenpub/rest/base/object/984-CSE;docs/tuva/sodermanland/objektrapporter/984-CSE.json
986-FAV;Södermanland;Katrineholm;1.59;Bete;2002-08-06;Bonneråd 2;https://etjanst.sjv.se/tuvaut/?f=&id=986-FAV;https://etjanst.sjv.se/hagenpub/rest/base/object/986-FAV;docs/tuva/sodermanland/objektrapporter/986-FAV.json
987-JVY;Södermanland;Katrineholm;4.23;Bete;2002-08-15;Sörtorp 1;https://etjanst.sjv.se/tuvaut/?f=&id=987-JVY;https://etjanst.sjv.se/hagenpub/rest/base/object/987-JVY;docs/tuva/sodermanland/objektrapporter/987-JVY.json
989-SQK;Södermanland;Eskilstuna;0.32;Bete;2002-09-20;Fäboda1;https://etjanst.sjv.se/tuvaut/?f=&id=989-SQK;https://etjanst.sjv.se/hagenpub/rest/base/object/989-SQK;docs/tuva/sodermanland/objektrapporter/989-SQK.json
98B-A00;Södermanland;Katrineholm;0.25;Bete;2002-06-26;Kvarntorp 5;https://etjanst.sjv.se/tuvaut/?f=&id=98B-A00;https://etjanst.sjv.se/hagenpub/rest/base/object/98B-A00;docs/tuva/sodermanland/objektrapporter/98B-A00.json
98D-180;Södermanland;Nyköping;3.25;Restaurerbar;2002-06-17;Pumptorp;https://etjanst.sjv.se/tuvaut/?f=&id=98D-180;https://etjanst.sjv.se/hagenpub/rest/base/object/98D-180;docs/tuva/sodermanland/objektrapporter/98D-180.json
98E-B00;Södermanland;Katrineholm;16.49;Ej aktuell;2002-07-03;Karstorp 1;https://etjanst.sjv.se/tuvaut/?f=&id=98E-B00;https://etjanst.sjv.se/hagenpub/rest/base/object/98E-B00;docs/tuva/sodermanland/objektrapporter/98E-B00.json
98E-JUI;Södermanland;Strängnäs;3.01;Bete;2002-08-14;Ulriksberg2;https://etjanst.sjv.se/tuvaut/?f=&id=98E-JUI;https://etjanst.sjv.se/hagenpub/rest/base/object/98E-JUI;docs/tuva/sodermanland/objektrapporter/98E-JUI.json
98F-OVV;Södermanland;Eskilstuna;0.54;Bete;2003-08-18;Visund2;https://etjanst.sjv.se/tuvaut/?f=&id=98F-OVV;https://etjanst.sjv.se/hagenpub/rest/base/object/98F-OVV;docs/tuva/sodermanland/objektrapporter/98F-OVV.json
98F-YAH;Södermanland;Eskilstuna;1.85;Bete;2003-08-11;Aspesten2;https://etjanst.sjv.se/tuvaut/?f=&id=98F-YAH;https://etjanst.sjv.se/hagenpub/rest/base/object/98F-YAH;docs/tuva/sodermanland/objektrapporter/98F-YAH.json
990-HAT;Södermanland;Katrineholm;1.65;Bete;2003-07-01;Helenelund 1;https://etjanst.sjv.se/tuvaut/?f=&id=990-HAT;https://etjanst.sjv.se/hagenpub/rest/base/object/990-HAT;docs/tuva/sodermanland/objektrapporter/990-HAT.json
990-OTK;Södermanland;Katrineholm;12.27;Bete;2002-08-19;Kalsta;https://etjanst.sjv.se/tuvaut/?f=&id=990-OTK;https://etjanst.sjv.se/hagenpub/rest/base/object/990-OTK;docs/tuva/sodermanland/objektrapporter/990-OTK.json
991-RZB;Södermanland;Eskilstuna;1.87;Bete;2003-07-08;Hyttersta;https://etjanst.sjv.se/tuvaut/?f=&id=991-RZB;https://etjanst.sjv.se/hagenpub/rest/base/object/991-RZB;docs/tuva/sodermanland/objektrapporter/991-RZB.json
994-480;Södermanland;Strängnäs;10.05;Bete;2002-06-03;Ärnesta2;https://etjanst.sjv.se/tuvaut/?f=&id=994-480;https://etjanst.sjv.se/hagenpub/rest/base/object/994-480;docs/tuva/sodermanland/objektrapporter/994-480.json
997-IAR;Södermanland;Nyköping;5.99;Bete;2004-09-09;Sulsta 1;https://etjanst.sjv.se/tuvaut/?f=&id=997-IAR;https://etjanst.sjv.se/hagenpub/rest/base/object/997-IAR;docs/tuva/sodermanland/objektrapporter/997-IAR.json
998-XWE;Södermanland;Nyköping;2.18;Bete;2002-07-13;Lillkällsstugan;https://etjanst.sjv.se/tuvaut/?f=&id=998-XWE;https://etjanst.sjv.se/hagenpub/rest/base/object/998-XWE;docs/tuva/sodermanland/objektrapporter/998-XWE.json
999-DBH;Södermanland;Eskilstuna;1.95;Bete;2003-08-04;Hagby säteri4;https://etjanst.sjv.se/tuvaut/?f=&id=999-DBH;https://etjanst.sjv.se/hagenpub/rest/base/object/999-DBH;docs/tuva/sodermanland/objektrapporter/999-DBH.json
99F-ZMP;Södermanland;Flen;0.65;Bete;2003-07-30;Herrgölet 2;https://etjanst.sjv.se/tuvaut/?f=&id=99F-ZMP;https://etjanst.sjv.se/hagenpub/rest/base/object/99F-ZMP;docs/tuva/sodermanland/objektrapporter/99F-ZMP.json
9A0-BOR;Södermanland;Nyköping;0.63;Bete;2003-05-23;Söra;https://etjanst.sjv.se/tuvaut/?f=&id=9A0-BOR;https://etjanst.sjv.se/hagenpub/rest/base/object/9A0-BOR;docs/tuva/sodermanland/objektrapporter/9A0-BOR.json
9A2-CHZ;Södermanland;Nyköping;1.76;Bete;2004-06-17;Fjällen 3;https://etjanst.sjv.se/tuvaut/?f=&id=9A2-CHZ;https://etjanst.sjv.se/hagenpub/rest/base/object/9A2-CHZ;docs/tuva/sodermanland/objektrapporter/9A2-CHZ.json
9A2-ROR;Södermanland;Nyköping;13.62;Bete;2002-07-14;Kälkesta;https://etjanst.sjv.se/tuvaut/?f=&id=9A2-ROR;https://etjanst.sjv.se/hagenpub/rest/base/object/9A2-ROR;docs/tuva/sodermanland/objektrapporter/9A2-ROR.json
9A5-FEB;Södermanland;Katrineholm;1.99;Bete;2004-06-14;Sund;https://etjanst.sjv.se/tuvaut/?f=&id=9A5-FEB;https://etjanst.sjv.se/hagenpub/rest/base/object/9A5-FEB;docs/tuva/sodermanland/objektrapporter/9A5-FEB.json
9A7-C00;Södermanland;Nyköping;2.71;Restaurerbar;2002-06-19;Garskog;https://etjanst.sjv.se/tuvaut/?f=&id=9A7-C00;https://etjanst.sjv.se/hagenpub/rest/base/object/9A7-C00;docs/tuva/sodermanland/objektrapporter/9A7-C00.json
9A8-JDT;Södermanland;Eskilstuna;1.6;Bete;2003-07-07;Åltorp1;https://etjanst.sjv.se/tuvaut/?f=&id=9A8-JDT;https://etjanst.sjv.se/hagenpub/rest/base/object/9A8-JDT;docs/tuva/sodermanland/objektrapporter/9A8-JDT.json
9A9-SCZ;Södermanland;Eskilstuna;0.5;Bete;2003-06-02;Rökärr2;https://etjanst.sjv.se/tuvaut/?f=&id=9A9-SCZ;https://etjanst.sjv.se/hagenpub/rest/base/object/9A9-SCZ;docs/tuva/sodermanland/objektrapporter/9A9-SCZ.json
9AE-FUB;Södermanland;Flen;5.51;Bete;2004-06-03;Sörby 1;https://etjanst.sjv.se/tuvaut/?f=&id=9AE-FUB;https://etjanst.sjv.se/hagenpub/rest/base/object/9AE-FUB;docs/tuva/sodermanland/objektrapporter/9AE-FUB.json
9AE-INF;Södermanland;Katrineholm;23.74;Bete;2003-05-19;Bro;https://etjanst.sjv.se/tuvaut/?f=&id=9AE-INF;https://etjanst.sjv.se/hagenpub/rest/base/object/9AE-INF;docs/tuva/sodermanland/objektrapporter/9AE-INF.json
9AF-880;Södermanland;Strängnäs;3.56;Restaurerbar;2002-07-01;Vältesta;https://etjanst.sjv.se/tuvaut/?f=&id=9AF-880;https://etjanst.sjv.se/hagenpub/rest/base/object/9AF-880;docs/tuva/sodermanland/objektrapporter/9AF-880.json
9B0-IGA;Södermanland;Trosa;1.03;Bete;2004-05-07;litselby 1;https://etjanst.sjv.se/tuvaut/?f=&id=9B0-IGA;https://etjanst.sjv.se/hagenpub/rest/base/object/9B0-IGA;docs/tuva/sodermanland/objektrapporter/9B0-IGA.json
9B0-OBM;Södermanland;Nyköping;1.38;Bete;2002-08-14;Svinsätter;https://etjanst.sjv.se/tuvaut/?f=&id=9B0-OBM;https://etjanst.sjv.se/hagenpub/rest/base/object/9B0-OBM;docs/tuva/sodermanland/objektrapporter/9B0-OBM.json
9B0-VXE;Södermanland;Katrineholm;0.98;Bete;2004-06-14;berga 2;https://etjanst.sjv.se/tuvaut/?f=&id=9B0-VXE;https://etjanst.sjv.se/hagenpub/rest/base/object/9B0-VXE;docs/tuva/sodermanland/objektrapporter/9B0-VXE.json
9B0-ZGQ;Södermanland;Flen;0.3;Bete;2003-09-29;;https://etjanst.sjv.se/tuvaut/?f=&id=9B0-ZGQ;https://etjanst.sjv.se/hagenpub/rest/base/object/9B0-ZGQ;docs/tuva/sodermanland/objektrapporter/9B0-ZGQ.json
9B2-JCE;Södermanland;Nyköping;2.03;Restaurerbar;2002-07-08;Jobstorp;https://etjanst.sjv.se/tuvaut/?f=&id=9B2-JCE;https://etjanst.sjv.se/hagenpub/rest/base/object/9B2-JCE;docs/tuva/sodermanland/objektrapporter/9B2-JCE.json
9B6-VUX;Södermanland;Gnesta;1.08;Bete;2004-06-14;Harlinge 5;https://etjanst.sjv.se/tuvaut/?f=&id=9B6-VUX;https://etjanst.sjv.se/hagenpub/rest/base/object/9B6-VUX;docs/tuva/sodermanland/objektrapporter/9B6-VUX.json
9B8-ZEB;Södermanland;Eskilstuna;5.89;Bete;2023-10-26;Prästgården3;https://etjanst.sjv.se/tuvaut/?f=&id=9B8-ZEB;https://etjanst.sjv.se/hagenpub/rest/base/object/9B8-ZEB;docs/tuva/sodermanland/objektrapporter/9B8-ZEB.json
9B9-KMF;Södermanland;Eskilstuna;0.79;Bete;2003-08-28;Välakärr2;https://etjanst.sjv.se/tuvaut/?f=&id=9B9-KMF;https://etjanst.sjv.se/hagenpub/rest/base/object/9B9-KMF;docs/tuva/sodermanland/objektrapporter/9B9-KMF.json
9B9-PBE;Södermanland;Eskilstuna;12.03;Bete;2002-09-12;Vi by2;https://etjanst.sjv.se/tuvaut/?f=&id=9B9-PBE;https://etjanst.sjv.se/hagenpub/rest/base/object/9B9-PBE;docs/tuva/sodermanland/objektrapporter/9B9-PBE.json
9BE-300;Södermanland;Strängnäs;1.75;Bete;2002-06-07;Tynnelsö gård1;https://etjanst.sjv.se/tuvaut/?f=&id=9BE-300;https://etjanst.sjv.se/hagenpub/rest/base/object/9BE-300;docs/tuva/sodermanland/objektrapporter/9BE-300.json
9C1-MDM;Södermanland;Flen;4.4;Bete;2003-09-01;Grinda 5;https://etjanst.sjv.se/tuvaut/?f=&id=9C1-MDM;https://etjanst.sjv.se/hagenpub/rest/base/object/9C1-MDM;docs/tuva/sodermanland/objektrapporter/9C1-MDM.json
9C1-RNR;Södermanland;Flen;1.04;Bete;2004-06-17;Kulsta 2;https://etjanst.sjv.se/tuvaut/?f=&id=9C1-RNR;https://etjanst.sjv.se/hagenpub/rest/base/object/9C1-RNR;docs/tuva/sodermanland/objektrapporter/9C1-RNR.json
9C2-700;Södermanland;Strängnäs;3.53;Bete;2002-06-11;Klahammar2;https://etjanst.sjv.se/tuvaut/?f=&id=9C2-700;https://etjanst.sjv.se/hagenpub/rest/base/object/9C2-700;docs/tuva/sodermanland/objektrapporter/9C2-700.json
9C2-XCT;Södermanland;Gnesta;1.05;Bete;2004-08-12;Odensberga 3;https://etjanst.sjv.se/tuvaut/?f=&id=9C2-XCT;https://etjanst.sjv.se/hagenpub/rest/base/object/9C2-XCT;docs/tuva/sodermanland/objektrapporter/9C2-XCT.json
9C4-WYL;Södermanland;Katrineholm;1.44;Bete;2002-08-15;Bromma;https://etjanst.sjv.se/tuvaut/?f=&id=9C4-WYL;https://etjanst.sjv.se/hagenpub/rest/base/object/9C4-WYL;docs/tuva/sodermanland/objektrapporter/9C4-WYL.json
9C5-SDD;Södermanland;Nyköping;1.8;Bete;2003-05-19;Göksätter 2;https://etjanst.sjv.se/tuvaut/?f=&id=9C5-SDD;https://etjanst.sjv.se/hagenpub/rest/base/object/9C5-SDD;docs/tuva/sodermanland/objektrapporter/9C5-SDD.json
9C6-AYE;Södermanland;Eskilstuna;0.84;Bete;2003-08-21;Åstorp4;https://etjanst.sjv.se/tuvaut/?f=&id=9C6-AYE;https://etjanst.sjv.se/hagenpub/rest/base/object/9C6-AYE;docs/tuva/sodermanland/objektrapporter/9C6-AYE.json
9C6-ZDJ;Södermanland;Nyköping;2.65;Bete;2002-07-13;Backgården;https://etjanst.sjv.se/tuvaut/?f=&id=9C6-ZDJ;https://etjanst.sjv.se/hagenpub/rest/base/object/9C6-ZDJ;docs/tuva/sodermanland/objektrapporter/9C6-ZDJ.json
9C7-SUB;Södermanland;Nyköping;27.35;Restaurerbar;2002-07-18;Svehorn;https://etjanst.sjv.se/tuvaut/?f=&id=9C7-SUB;https://etjanst.sjv.se/hagenpub/rest/base/object/9C7-SUB;docs/tuva/sodermanland/objektrapporter/9C7-SUB.json
9C8-IHS;Södermanland;Eskilstuna;3.32;Bete;2003-07-23;Hägran1;https://etjanst.sjv.se/tuvaut/?f=&id=9C8-IHS;https://etjanst.sjv.se/hagenpub/rest/base/object/9C8-IHS;docs/tuva/sodermanland/objektrapporter/9C8-IHS.json
9C8-QST;Södermanland;Eskilstuna;0.79;Bete;2004-08-31;Norra Åby 1;https://etjanst.sjv.se/tuvaut/?f=&id=9C8-QST;https://etjanst.sjv.se/hagenpub/rest/base/object/9C8-QST;docs/tuva/sodermanland/objektrapporter/9C8-QST.json
9CA-680;Södermanland;Katrineholm;5.4;Bete;2002-05-31;Albro 4, Sjögetorp;https://etjanst.sjv.se/tuvaut/?f=&id=9CA-680;https://etjanst.sjv.se/hagenpub/rest/base/object/9CA-680;docs/tuva/sodermanland/objektrapporter/9CA-680.json
9CA-FYA;Södermanland;Vingåker;3.91;Bete;2003-08-16;;https://etjanst.sjv.se/tuvaut/?f=&id=9CA-FYA;https://etjanst.sjv.se/hagenpub/rest/base/object/9CA-FYA;docs/tuva/sodermanland/objektrapporter/9CA-FYA.json
9CB-IJU;Södermanland;Eskilstuna;1.2;Bete;2003-06-16;Stavtorp2;https://etjanst.sjv.se/tuvaut/?f=&id=9CB-IJU;https://etjanst.sjv.se/hagenpub/rest/base/object/9CB-IJU;docs/tuva/sodermanland/objektrapporter/9CB-IJU.json
9CC-SQK;Södermanland;Eskilstuna;4.45;Bete;2002-09-05;Prostökna1;https://etjanst.sjv.se/tuvaut/?f=&id=9CC-SQK;https://etjanst.sjv.se/hagenpub/rest/base/object/9CC-SQK;docs/tuva/sodermanland/objektrapporter/9CC-SQK.json
9CF-QNI;Södermanland;Katrineholm;8.55;Bete;2002-08-13;Påvelstorp;https://etjanst.sjv.se/tuvaut/?f=&id=9CF-QNI;https://etjanst.sjv.se/hagenpub/rest/base/object/9CF-QNI;docs/tuva/sodermanland/objektrapporter/9CF-QNI.json
9D0-AOF;Södermanland;Trosa;2.13;Bete;2004-05-12;Kungsbol;https://etjanst.sjv.se/tuvaut/?f=&id=9D0-AOF;https://etjanst.sjv.se/hagenpub/rest/base/object/9D0-AOF;docs/tuva/sodermanland/objektrapporter/9D0-AOF.json
9D1-XFO;Södermanland;Eskilstuna;2.94;Bete;2003-08-18;Hedensö7;https://etjanst.sjv.se/tuvaut/?f=&id=9D1-XFO;https://etjanst.sjv.se/hagenpub/rest/base/object/9D1-XFO;docs/tuva/sodermanland/objektrapporter/9D1-XFO.json
9D5-YWQ;Södermanland;Nyköping;2.02;Bete;2004-06-09;Kallmyra 2;https://etjanst.sjv.se/tuvaut/?f=&id=9D5-YWQ;https://etjanst.sjv.se/hagenpub/rest/base/object/9D5-YWQ;docs/tuva/sodermanland/objektrapporter/9D5-YWQ.json
9D6-B00;Södermanland;Katrineholm;0.36;Bete;2002-06-27;Kvarntorp 6;https://etjanst.sjv.se/tuvaut/?f=&id=9D6-B00;https://etjanst.sjv.se/hagenpub/rest/base/object/9D6-B00;docs/tuva/sodermanland/objektrapporter/9D6-B00.json
9D6-KLN;Södermanland;Katrineholm;1.2;Bete;2003-07-08;Djupan-Boda 1;https://etjanst.sjv.se/tuvaut/?f=&id=9D6-KLN;https://etjanst.sjv.se/hagenpub/rest/base/object/9D6-KLN;docs/tuva/sodermanland/objektrapporter/9D6-KLN.json
9D6-YBZ;Södermanland;Flen;2.34;Bete;2004-08-09;norrkärr 4;https://etjanst.sjv.se/tuvaut/?f=&id=9D6-YBZ;https://etjanst.sjv.se/hagenpub/rest/base/object/9D6-YBZ;docs/tuva/sodermanland/objektrapporter/9D6-YBZ.json
9D9-SAC;Södermanland;Flen;3.65;Bete;2004-08-05;kärrtorp 2;https://etjanst.sjv.se/tuvaut/?f=&id=9D9-SAC;https://etjanst.sjv.se/hagenpub/rest/base/object/9D9-SAC;docs/tuva/sodermanland/objektrapporter/9D9-SAC.json
9DB-C00;Södermanland;Katrineholm;5.38;Bete;2002-05-28;Västeråsen 2, Porten;https://etjanst.sjv.se/tuvaut/?f=&id=9DB-C00;https://etjanst.sjv.se/hagenpub/rest/base/object/9DB-C00;docs/tuva/sodermanland/objektrapporter/9DB-C00.json
9DF-KIU;Södermanland;Flen;5.32;Bete;2004-05-19;bogsten 3;https://etjanst.sjv.se/tuvaut/?f=&id=9DF-KIU;https://etjanst.sjv.se/hagenpub/rest/base/object/9DF-KIU;docs/tuva/sodermanland/objektrapporter/9DF-KIU.json
9E4-CKU;Södermanland;Katrineholm;0.81;Bete;2003-07-09;;https://etjanst.sjv.se/tuvaut/?f=&id=9E4-CKU;https://etjanst.sjv.se/hagenpub/rest/base/object/9E4-CKU;docs/tuva/sodermanland/objektrapporter/9E4-CKU.json
9E5-TRO;Södermanland;Vingåker;2.7;Ej aktuell;2003-09-16;;https://etjanst.sjv.se/tuvaut/?f=&id=9E5-TRO;https://etjanst.sjv.se/hagenpub/rest/base/object/9E5-TRO;docs/tuva/sodermanland/objektrapporter/9E5-TRO.json
9E6-MCF;Södermanland;Nyköping;22.5;Bete;2002-07-12;Lilla Flättna;https://etjanst.sjv.se/tuvaut/?f=&id=9E6-MCF;https://etjanst.sjv.se/hagenpub/rest/base/object/9E6-MCF;docs/tuva/sodermanland/objektrapporter/9E6-MCF.json
9E7-JUB;Södermanland;Katrineholm;12.76;Restaurerbar;2002-07-10;Duveholm;https://etjanst.sjv.se/tuvaut/?f=&id=9E7-JUB;https://etjanst.sjv.se/hagenpub/rest/base/object/9E7-JUB;docs/tuva/sodermanland/objektrapporter/9E7-JUB.json
9EA-ITL;Södermanland;Vingåker;0.21;Bete;2003-08-06;Dal 4;https://etjanst.sjv.se/tuvaut/?f=&id=9EA-ITL;https://etjanst.sjv.se/hagenpub/rest/base/object/9EA-ITL;docs/tuva/sodermanland/objektrapporter/9EA-ITL.json
9EA-SCZ;Södermanland;Strängnäs;1.25;Bete;2002-07-15;Hammartorp;https://etjanst.sjv.se/tuvaut/?f=&id=9EA-SCZ;https://etjanst.sjv.se/hagenpub/rest/base/object/9EA-SCZ;docs/tuva/sodermanland/objektrapporter/9EA-SCZ.json
9EB-A00;Södermanland;Nyköping;2.54;Bete;2002-07-02;Stora Älghammar;https://etjanst.sjv.se/tuvaut/?f=&id=9EB-A00;https://etjanst.sjv.se/hagenpub/rest/base/object/9EB-A00;docs/tuva/sodermanland/objektrapporter/9EB-A00.json
9EC-MWT;Södermanland;Trosa;1.98;Bete;2004-05-11;Vackebol 1;https://etjanst.sjv.se/tuvaut/?f=&id=9EC-MWT;https://etjanst.sjv.se/hagenpub/rest/base/object/9EC-MWT;docs/tuva/sodermanland/objektrapporter/9EC-MWT.json
9ED-POW;Södermanland;Strängnäs;0.46;Bete;2004-08-24;Nällsta;https://etjanst.sjv.se/tuvaut/?f=&id=9ED-POW;https://etjanst.sjv.se/hagenpub/rest/base/object/9ED-POW;docs/tuva/sodermanland/objektrapporter/9ED-POW.json
9ED-UKN;Södermanland;Nyköping;2.94;Restaurerbar;2002-08-30;Berg, Björksund;https://etjanst.sjv.se/tuvaut/?f=&id=9ED-UKN;https://etjanst.sjv.se/hagenpub/rest/base/object/9ED-UKN;docs/tuva/sodermanland/objektrapporter/9ED-UKN.json
9F1-CIW;Södermanland;Eskilstuna;2.64;Bete;2003-08-26;Ryttersberg2;https://etjanst.sjv.se/tuvaut/?f=&id=9F1-CIW;https://etjanst.sjv.se/hagenpub/rest/base/object/9F1-CIW;docs/tuva/sodermanland/objektrapporter/9F1-CIW.json
9F1-PYX;Södermanland;Flen;0.41;Bete;2004-05-28;Björnkulla;https://etjanst.sjv.se/tuvaut/?f=&id=9F1-PYX;https://etjanst.sjv.se/hagenpub/rest/base/object/9F1-PYX;docs/tuva/sodermanland/objektrapporter/9F1-PYX.json
9F3-CKM;Södermanland;Katrineholm;0.38;Bete;2004-07-14;sättra 1;https://etjanst.sjv.se/tuvaut/?f=&id=9F3-CKM;https://etjanst.sjv.se/hagenpub/rest/base/object/9F3-CKM;docs/tuva/sodermanland/objektrapporter/9F3-CKM.json
9F4-OWG;Södermanland;Nyköping;0.42;Bete;2004-09-22;Ringsö 4;https://etjanst.sjv.se/tuvaut/?f=&id=9F4-OWG;https://etjanst.sjv.se/hagenpub/rest/base/object/9F4-OWG;docs/tuva/sodermanland/objektrapporter/9F4-OWG.json
9F8-300;Södermanland;Katrineholm;0.21;Bete;2002-06-07;Järnbolstugan;https://etjanst.sjv.se/tuvaut/?f=&id=9F8-300;https://etjanst.sjv.se/hagenpub/rest/base/object/9F8-300;docs/tuva/sodermanland/objektrapporter/9F8-300.json
9F8-HAC;Södermanland;Flen;8.44;Bete;2004-06-18;Däntersta 2;https://etjanst.sjv.se/tuvaut/?f=&id=9F8-HAC;https://etjanst.sjv.se/hagenpub/rest/base/object/9F8-HAC;docs/tuva/sodermanland/objektrapporter/9F8-HAC.json
9FA-DNB;Södermanland;Flen;3.16;Bete;2003-10-01;;https://etjanst.sjv.se/tuvaut/?f=&id=9FA-DNB;https://etjanst.sjv.se/hagenpub/rest/base/object/9FA-DNB;docs/tuva/sodermanland/objektrapporter/9FA-DNB.json
9FA-JQE;Södermanland;Eskilstuna;0.84;Bete;2003-08-11;Lilla Lida2;https://etjanst.sjv.se/tuvaut/?f=&id=9FA-JQE;https://etjanst.sjv.se/hagenpub/rest/base/object/9FA-JQE;docs/tuva/sodermanland/objektrapporter/9FA-JQE.json
9FA-YIW;Södermanland;Vingåker;6.08;Bete;2003-08-15;;https://etjanst.sjv.se/tuvaut/?f=&id=9FA-YIW;https://etjanst.sjv.se/hagenpub/rest/base/object/9FA-YIW;docs/tuva/sodermanland/objektrapporter/9FA-YIW.json
9FC-DNC;Södermanland;Gnesta;13.97;Bete;2003-09-15;Nibble, Lifsinge;https://etjanst.sjv.se/tuvaut/?f=&id=9FC-DNC;https://etjanst.sjv.se/hagenpub/rest/base/object/9FC-DNC;docs/tuva/sodermanland/objektrapporter/9FC-DNC.json
9FE-PBJ;Södermanland;Eskilstuna;2.93;Bete;2003-08-20;Visund4;https://etjanst.sjv.se/tuvaut/?f=&id=9FE-PBJ;https://etjanst.sjv.se/hagenpub/rest/base/object/9FE-PBJ;docs/tuva/sodermanland/objektrapporter/9FE-PBJ.json
9FF-EFE;Södermanland;Nyköping;13.26;Bete;2002-08-16;Grytmar;https://etjanst.sjv.se/tuvaut/?f=&id=9FF-EFE;https://etjanst.sjv.se/hagenpub/rest/base/object/9FF-EFE;docs/tuva/sodermanland/objektrapporter/9FF-EFE.json
A00-TTV;Södermanland;Flen;8.62;Bete;2003-09-30;;https://etjanst.sjv.se/tuvaut/?f=&id=A00-TTV;https://etjanst.sjv.se/hagenpub/rest/base/object/A00-TTV;docs/tuva/sodermanland/objektrapporter/A00-TTV.json
A01-700;Södermanland;Strängnäs;27.59;Bete;2002-07-01;Rundholm;https://etjanst.sjv.se/tuvaut/?f=&id=A01-700;https://etjanst.sjv.se/hagenpub/rest/base/object/A01-700;docs/tuva/sodermanland/objektrapporter/A01-700.json
A01-YOT;Södermanland;Flen;3.44;Bete;2004-07-28;Hornsund 2;https://etjanst.sjv.se/tuvaut/?f=&id=A01-YOT;https://etjanst.sjv.se/hagenpub/rest/base/object/A01-YOT;docs/tuva/sodermanland/objektrapporter/A01-YOT.json
A02-LNA;Södermanland;Eskilstuna;3.42;Bete;2003-05-15;Biby-Hvarsta-Spånga;https://etjanst.sjv.se/tuvaut/?f=&id=A02-LNA;https://etjanst.sjv.se/hagenpub/rest/base/object/A02-LNA;docs/tuva/sodermanland/objektrapporter/A02-LNA.json
A09-AFH;Södermanland;Eskilstuna;0.26;Bete;2003-07-07;Magda 2;https://etjanst.sjv.se/tuvaut/?f=&id=A09-AFH;https://etjanst.sjv.se/hagenpub/rest/base/object/A09-AFH;docs/tuva/sodermanland/objektrapporter/A09-AFH.json
A0A-CNU;Södermanland;Nyköping;4.54;Ej aktuell;2004-08-17;Korsbäcken;https://etjanst.sjv.se/tuvaut/?f=&id=A0A-CNU;https://etjanst.sjv.se/hagenpub/rest/base/object/A0A-CNU;docs/tuva/sodermanland/objektrapporter/A0A-CNU.json
